id,article_label,article_text,language
11,Article 4: Interpretation of criminal laws,"Criminal laws cannot be interpreted broadly, they must be construed strictly. Courts are prohibited to make judgement by analogy.",en
12,Article 4: Interprétation des lois pénales,"Les lois pénales ne peuvent être interprétées extensivement, elles doivent être interprétées restrictivement. Il est interdit aux juridictions de rendre des jugements par analogie.",fr
13,Ingingo ya 5: Itegeko rikoreshwa igihe hari amategeko menshi ahana icyaha kimwe,"Iyo hari amategeko menshi ahana icyaha kimwe, itegeko ryihariye ni ryo rikoreshwa mu mwanya w'itegeko rusange, keretse iyo hari itegeko ribiteganya ukundi.",rw
14,Article 5: Law applied in case of several laws applicable to the same offence,"When several laws punish the same offence, the specific law takes precedence over the general law, unless the law provides otherwise.",en
15,Article 5: Loi applicable lorsqu'il y a plusieurs lois punissant la même infraction,"Lorsque plusieurs lois punissent la même infraction, la loi spéciale déroge à la loi générale, sauf si la loi en dispose autrement.",fr
16,Ingingo ya 6: Itegeko rikurikizwa igihe hari impurirane y'amategeko ahana,"Mu gihe hari amategeko ahana, rimwe ryariho mu gihe icyaha cyakorwaga, irindi ryaratangajwe nyuma y'uko icyaha gikorwa, ariko urubanza rutaracibwa burundu, itegeko rishya ni ryo rikurikizwa iyo riteganya igihano cyoroheje.",rw
17,Article 6: Law applied in case of conflict of criminal laws,"In case of conflict of criminal laws including a former law which was in force when the offence was committed, and another law which was published after the commission of the offence and before a final judgement has been rendered, the new law is the only one to be applied if it imposes a less severe penalty.",en
18,Article 6: Loi applicable en cas de concours de lois pénales,"En cas de concours de lois pénales, l'une ancienne sous l'empire de laquelle l'infraction a été commise et l'autre publiée après la commission de l'infraction mais avant qu'un jugement définitif ait été rendu, la loi nouvelle est seule à appliquer si elle prévoit une peine moins sévère.",fr
19,Ingingo ya 7: Kudahanirwa icyaha kimwe inshuro irenze imwe,Nta muntu ushobora guhanwa inshuro zirenze imwe ku cyaha kimwe nyir'izina yakoze.,rw
20,Article 7: Prohibition of double jeopardy,No person may be punished for the same offence for more than once.,en
21,Article 7: Interdiction de la double incrimination,Nul ne peut être puni plus d'une fois du chef de la même infraction qu'il a commise.,fr
22,Ingingo ya 8: Igihe itegeko rireka gukurikizwa,"Itegeko rireka gukurikizwa ku cyaha cyakozwe rikiriho iyo ryavuyeho urubanza kuri icyo cyaha rutaracibwa burundu, keretse iyo itegeko rishya ribiteganya ukundi.",rw
23,Article 8: Cessation of applicability of a law,"A law ceases to apply to an offence committed when the law was still in force when it is repealed before the final judgment in relation to such an offence, unless the new law provides otherwise.",en
24,Article 8: Cessation d'applicabilité d'une loi,"Une loi cesse d'être applicable à une infraction commise lorsqu'elle était en vigueur, si elle est abrogée avant qu'il y ait un jugement définitif sur cette infraction, à moins que la loi nouvelle n'en dispose autrement.",fr
25,Ingingo ya 9: Icyaha gikorewe mu ifasi y'Igihugu cy'u Rwanda,"Icyaha cyitwa ko cyakorewe mu ifasi y'Igihugu cy'u Rwanda, iyo nibura kimwe mu bikorwa bihamya imwe mu ngingo z'ishingiro z'icyo cyaha, ari zo kuba cyagambiriwe, cyashyizwe mu bikorwa kandi gihanwa n'amategeko, cyakorewe mu Rwanda. Icyaha cyitwa kandi ko cyakorewe mu ifasi y'Igihugu cy'u Rwanda, iyo cyakozwe n'Umunyarwanda cyangwa cyakorewe Umunyarwanda, gikorewe ahantu hatagira igihugu kihategeka cyangwa gikozwe n'umuntu wese uri mu bwato bw'u Rwanda kandi buri mu mazi atagira igihugu kiyategeka cyangwa uri mu ndege ifite icyapa cy'u Rwanda iyo iri mu ifasi itagira igihugu kiyitegeka.",rw
26,Article 9: Offence committed on the territory of Rwanda,"An offence is considered to have been committed on the territory of Rwanda if at least one of the acts constituting one of its elements, namely mens rea, actus reus and its being punishable by law, was accomplished in Rwanda. An offence is also considered to have been committed on the territory of Rwanda if it is committed by or against a Rwandan citizen in an area that is not subject to the sovereignty of any State or committed by any person on board a vessel flying the flag of Rwanda and in waters which are not subject to the sovereignty of any State or on board a Rwanda-registered aircraft in the territory that is not subject to the sovereignty of any State.",en
27,Article 9: Infraction commise sur le territoire du Rwanda,"Une infraction est réputée commise sur le territoire du Rwanda lorsqu'au moins l'un des actes caractérisant un de ses éléments constitutifs qui sont l'élément moral, l'élément matériel et l'élément légal, a été accompli au Rwanda. Une infraction est également réputée commise sur le territoire du Rwanda lorsqu'elle est perpétrée par ou contre un citoyen rwandais dans un lieu non soumis à la souveraineté d'un État, ou commise par toute personne soit à bord d'un bateau battant pavillon rwandais et se trouvant dans des eaux non soumises à la souveraineté d'un État, soit à bord d'un aéronef immatriculé au Rwanda si ce dernier se trouve sur un territoire non soumis à la souveraineté d'un État.",fr
28,Ingingo ya 10: Itegeko rikurikizwa mu guhana icyaha gikorewe mu ifasi y'Igihugu cy'u Rwanda,"Icyaha cyose gikorewe mu ifasi y'Igihugu cy'u Rwanda, cyaba gikozwe n'Umunyarwanda cyangwa umunyamahanga, gihanishwa itegeko ry'u Rwanda. Icyakora, ibivugwa mu gika cya mbere cy'iyi ngingo ntibikurikizwa ku bafite ubudahangarwa burengerwa n'amasezerano mpuzamahanga u Rwanda rwemeje burundu cyangwa umuco amahanga yose ahuriyeho.",rw
29,Article 10: Applicable law to punish an offence committed on the territory of Rwanda,"Any offence committed on the Rwandan territory, either by a Rwandan or a foreign citizen, is punished according to the Rwandan law. However, the provisions of Paragraph One of this Article do not apply to people entitled to diplomatic immunity guaranteed by international conventions ratified by Rwanda or by international customs or practices.",en
30,Article 10: Loi applicable pour la répression d'une infraction commise sur le territoire du Rwanda,"Toute infraction commise sur le territoire du Rwanda soit par un citoyen rwandais ou étranger, est sanctionnée par la loi rwandaise. Toutefois, les dispositions de l'alinéa premier du présent article ne sont pas applicables en cas de personnes jouissant de l'immunité diplomatique garantie par les conventions internationales ratifiées par le Rwanda ou les coutumes ou usages internationaux.",fr
31,Ingingo ya 11: Ihanwa ry'Umunyarwanda wakoreye icyaha hanze y'ifasi y'Igihugu cy'u Rwanda,Umunyarwanda wakoreye icyaha cy'ubugome cyangwa gikomeye hanze y'ifasi y'Igihugu cy'u Rwanda ashobora guhanwa hakurikijwe amategeko y'u Rwanda nk'aho icyo cyaha cyakorewe mu Rwanda mu gihe icyo cyaha gihanwa n'amategeko y'u Rwanda.,rw
32,Article 11: Punishment of a Rwandan citizen having committed an offence outside the territory of Rwanda,"A Rwandan citizen who commits a felony or a misdemeanour outside the territory of Rwanda may be punished in accordance with the Rwandan law as if the offence was committed in Rwanda, provided that such an offence is punishable by the Rwandan law.",en
33,Article 11: Répression d'un citoyen rwandais ayant commis une infraction hors du territoire du Rwanda,Un citoyen rwandais qui a commis un crime ou un délit hors du territoire du Rwanda peut être puni selon les dispositions de la loi rwandaise comme si l'infraction était commise au Rwanda lorsque celle-ci est punie par la loi rwandaise.,fr
34,Ingingo ya 12: Ihanwa ry'icyaha kibangamira inyungu z'u Rwanda gikorewe hanze y'ifasi y'Igihugu cy'u Rwanda,"Umunyarwanda wese cyangwa umunyamahanga wese wakoreye hanze y'ifasi y'Igihugu cy'u Rwanda, icyaha cy'ubugome cyangwa gikomeye kibangamiye inyungu z'u Rwanda cyangwa umunyarwanda, ashobora gukurikiranwa no gucirwa urubanza hakurikije itegeko ry'u Rwanda nkaho icyaha cyaba cyarakorewe mu Rwanda.",rw
35,Article 12: Punishment of an offence committed outside the territory of Rwanda against the interest of Rwanda,Any Rwandan or foreign citizen who commits a felony or a misdemeanour against the interests of Rwanda or against a Rwandan citizen outside the territory of Rwanda may be prosecuted and tried in accordance with the Rwandan law as if the offence had been committed in Rwanda.,en
36,Article 12: Répression d'infraction commise en dehors du territoire du Rwanda contre les intérêts du Rwanda,Tout citoyen rwandais ou étranger qui commet en dehors du territoire du Rwanda un crime ou un délit contre les intérêts du Rwanda ou d'un citoyen rwandais peut être poursuivi et jugé selon la loi du Rwanda comme si l'infraction avait été commise au Rwanda.,fr
37,Ingingo ya 13: Ihanwa ry'icyitso ku cyaha cyakorewe mu mahanga,"Umuntu wese wabaye icyitso ku cyaha cy'ubugome cyangwa icyaha gikomeye cyakorewe mu mahanga, uri ku ifasi y'Igihugu cy'u Rwanda ashobora guhanwa n'inkiko z'u Rwanda, iyo icyo cyaha gihanwa n'itegeko ry'igihugu cyakorewemo n'itegeko ry'u Rwanda.",rw
38,Article 13: Punishment of an accomplice to an offence committed abroad,"Any person on the territory of Rwanda who is an accomplice to a felony or misdemeanour committed abroad, may be punished by Rwandan courts if the offence is punishable under the law of the country where the offence was committed and by the Rwandan law.",en
39,Article 13: Répression d'un complice d'une infraction commise à l'étranger,Toute personne complice d'un crime ou délit commis à l'étranger qui se trouve sur le territoire du Rwanda peut être punie par les juridictions rwandaises lorsque l'infraction est punissable par la loi du pays où elle a été commise et la loi rwandaise.,fr
40,Ingingo ya 14: Icyaha mpuzamahanga n'icyaha cyambuka imbibi,"Icyaha mpuzamahanga ni icyaha giteganywa gutyo n'Amategeko Mpuzamahanga. Ibyaha mpuzamahanga ni ibi bikurikira: 1º icyaha cya jenocide; 2º icyaha cyibasira inyokomuntu; 3º ibyaha by'intambara. Icyaha cyambuka imbibi iyo kimwe mu bikorwa bikigize gikorewe hanze y'imipaka y'u Rwanda. Umuntu wese, yaba Umunyarwanda cyangwa umunyamahanga, imiryango ya Leta cyangwa itari iya Leta yo mu Rwanda cyangwa mu mahanga, ukoreye ku ifasi y'Igihugu cy'u Rwanda cyangwa mu mahanga icyaha mpuzamahanga cyangwa icyaha cyambuka imbibi ashobora, iyo afatiwe ku ifasi y'Igihugu cy'u Rwanda, guhanwa hakurikijwe amategeko y'u Rwanda.",rw
41,Article 14: International crime and transnational crime,"An international crime is a crime classified as such under international law. International crimes are the following: 1º the crime of genocide; 2º the crime against humanity; 3º war crimes. A transnational crime means a crime, one of whose constituent elements is accomplished outside Rwanda's borders. Any person, whether a Rwandan or foreign citizen, a national or foreign non-governmental organization or association, that commits, inside or outside the territory of Rwanda, an international crime or transnational crime may, if apprehended on the territory of Rwanda, be punished in accordance with the Rwandan law.",en
42,Article 14: Crime à caractère international et crime à caractère transnational,"Un crime à caractère international est un crime qualifié comme tel par le droit international. Les crimes à caractère international sont les suivants : 1º le crime de génocide; 2º le crime contre l'humanité; 3º les crimes de guerre. Un crime à caractère transnational est une infraction dont l'un de ses éléments constitutifs est accompli au-delà des frontières du Rwanda. Toute personne, qu'elle soit citoyen rwandais ou étranger, une organisation ou une association non gouvernementale nationale ou étrangère, qui commet sur le territoire du Rwanda ou étranger, un crime à caractère international ou transnational peut, si elle est arrêtée sur le territoire du Rwanda, être punie conformément à la loi rwandaise.",fr
43,Ingingo ya 15: Isuzumwa ry'ubwenegihugu nyarwanda,"Umunyarwanda uvugwa mu ngingo ya 9, iya 10, iya 11, iya 12, iya 14, iya 191 n'iya 192 z'iri tegeko ni uwari ufite ubwenegihugu nyarwanda igihe icyaha cyakorwaga.",rw
44,Article 15: Assessment of Rwandan nationality,"The Rwandan citizen referred to under Articles 9, 10, 11, 12, 14, 191 and 192 of this Law is the one who had a Rwandan nationality at the time of the commission of the offence.",en
45,Article 15: Appréciation de la nationalité rwandaise,"Le citoyen rwandais visé aux articles 9, 10, 11, 12, 14, 191 et 192 de la présente loi est celui qui avait la nationalité rwandaise au moment de la commission de l'infraction.",fr
46,Ingingo ya 16: Ubusumbane bw'ibyaha,Ibyaha bisumbana hakurikijwe uburemere bwabyo ku buryo bukurikira: 1º icyaha cy'ubugome; 2º icyaha gikomeye; 3º icyaha cyoroheje.,rw
47,Article 16: Classification of offences,Offences are classified according to their gravity as follows: 1º felony; 2º misdemeanour; 3º petty offence.,en
48,Article 16: Classification des infractions,Les infractions sont classées selon leur gravité comme suit: 1° crime; 2° délit; 3° contravention.,fr
49,Ingingo ya 17: Icyaha cy'ubugome,Icyaha cy'ubugome ni icyaha itegeko rihanisha igihano cy'iremezo cy'igifungo kirenze imyaka itanu (5) cyangwa igifungo cya burundu.,rw
50,Article 17: Felony,A felony is an offence punishable under the law by a principal penalty of imprisonment for a term of more than five (5) years or by life imprisonment.,en
51,Article 17: Crime,Un crime est une infraction que la loi punit à titre principal d'une peine d'emprisonnement supérieure à cinq (5) ans ou par l'emprisonnement à perpétuité.,fr
52,Ingingo ya 18: Icyaha gikomeye,Icyaha gikomeye ni icyaha itegeko rihanisha igihano cy'iremezo cy'igifungo kitari munsi y'amezi atandatu (6) ariko kitarenze imyaka itanu (5).,rw
53,Article 18: Misdemeanour,A misdemeanour is an offence punishable under the law by a principal penalty of imprisonment for a term of not less than six (6) months and not more than five (5) years.,en
54,Article 18: Délit,Un délit est une infraction que la loi punit à titre principal d'une peine d'emprisonnement d'au moins six (6) mois mais n'excédant pas cinq (5) ans.,fr
55,Ingingo ya 19: Icyaha cyoroheje,"Icyaha cyoroheje ni icyaha itegeko rihanisha gusa igihano cy'iremezo cy'igifungo kitageze ku mezi atandatu (6), icy'ihazabu cyangwa igihano cy'imirimo y'inyungu rusange.",rw
56,Article 19: Petty offence,"A petty offence is an offence punishable under the law only by a principal penalty of imprisonment for a term of less than six (6) months, a fine or the penalty of community service.",en
57,Article 19: Contravention,"Une contravention est une infraction que la loi punit seulement à titre principal d'une peine d'emprisonnement inférieure à six (6) mois, d'une amende ou de la peine de travaux d'intérêt général.",fr
58,Ingingo ya 20: Gucura umugambi wo gukora icyaha,"Gucura umugambi wo gukora icyaha ni ubwumvikane hagati y'abantu babiri (2) cyangwa benshi bugamije gukora icyaha cyakorwa n'umwe cyangwa benshi muri bo. Gucura umugambi wo gukora icyaha bihanishwa igihano giteganyirijwe icyaha cyacuriwe umugambi. Umuntu wese uri mu mugambi wo gutegura, akabimenyesha ubutegetsi bw'igihugu, inzego z'ubutabera cyangwa iz'umutekano, ko hategurwa ibyaha, akabumenyesha n'amazina y'abagome n'ay'ibyitso byabo, asonerwa igihano giteganyirijwe icyaha cyo gucura umugambi mu gihe ibyo abikoze mbere y'uko icyaha gicurirwa umugambi gikorwa.",rw
59,Article 20: Conspiracy to commit an offence,"Conspiracy to commit an offence is an agreement between two (2) or more persons to engage in the commission of an offence by any one or more of them. Conspiracy to commit an offence is punishable by the same penalty as the intended offence. Any person involved in conspiracy but who reports it to administrative authorities, judicial or security organs and disclose to them the names of involved criminals and their accomplices is exempted from the penalty prescribed for conspiracy if he/she reports it before the commission of the offence in respect of which conspiracy takes place.",en
60,Article 20: Conspiration de commettre une infraction,"La conspiration de commettre une infraction consiste en une entente entre deux (2) ou plusieurs personnes en vue de la commission d'une infraction par l'une ou plusieurs d'entre elles. La conspiration de commettre une infraction est punissable de la peine prévue pour l'infraction pour laquelle la conspiration a lieu. Toute personne impliquée dans une conspiration et en fait dénonciation aux autorités administratives, aux organes judiciaires ou de sécurité et leur révèle les noms des criminels impliqués et leurs complices, est exemptée de la peine prévue pour conspiration si une telle dénonciation se fait avant que ne soit commise l'infraction pour laquelle la conspiration a lieu.",fr
61,Ingingo ya 21: Ihanwa ry'ubwinjiracyaha,"Ubwinjiracyaha buhanirwa iyo umugambi wo gukora icyaha wagaragajwe n'igikorwa kimwe cyangwa byinshi biboneka, bidashidikanywa by'intangiriro y'icyaha biganisha ku ikorwa ryacyo, nyuma bigahagarikwa, bikabuzwa kugera ku cyifuzo cyangwa bikazitirwa n'impamvu zidakomoka ku bushake bwa nyir'ugukora icyaha. Ubwinjiracyaha burahanirwa n'ubwo icyari kigambiriwe kitashoboraga kugerwaho bitewe n'impamvu nyir'ugukora icyaha atashoboye kumenya. Ubwinjiracyaha bw'icyaha cy'ubugome cyangwa icyaha gikomeye buhanishwa kimwe cya kabiri (1/2) cy'igihano giteganyirijwe icyo cyaha. Ku cyaha gihanishwa igifungo cya burundu, ubwinjiracyaha buhanishwa igihano cy'igifungo kingana n'imyaka makumyabiri n'itanu (25). Ubwinjiracyaha bw'icyaha cyoroheje ntibuhanirwa.",rw
62,Article 21: Punishment of attempt to commit an offence,"An attempt is punishable when the intention to commit the offence has been demonstrated by one or more observable and unequivocal acts which constitute the beginning of the commission of the offence and leading to its execution, and that were suspended or failed in their purpose only because of circumstances beyond the offender's control. An attempt to commit an offence is punishable even if the intended purpose could not be achieved because of factual circumstances unknown to the offender. An attempt to commit a felony or a misdemeanour is punishable with one half (1/2) the penalty for the felony or misdemeanour itself. For the offence punishable by the penalty of life imprisonment, the attempt is punishable by imprisonment for a term of twenty-five (25) years. An attempt to commit a petty offence is not punishable.",en
63,Article 21: Répression de la tentative d'infraction,"Il y a tentative punissable lorsque la résolution de commettre l'infraction a été manifestée par un ou plusieurs actes extérieurs non équivoques qui constituent le commencement de la commission de cette infraction et conduisant à sa consommation, et qui n'ont été suspendus ou qui n'ont manqué leur effet que par des circonstances indépendantes de la volonté de l'auteur. La tentative d'infraction est punissable alors même que le but recherché ne pouvait pas être atteint en raison des circonstances de fait ignorées de l'auteur. Une tentative de crime ou de délit est réprimée par la moitié (1/2) de la peine prévue pour cette infraction. Pour une infraction punissable d'un emprisonnement à perpétuité, la tentative est punissable d'un emprisonnement de vingt-cinq (25) ans. La tentative de contravention n'est pas punissable.",fr
64,Ingingo ya 22: Kwigarura k'uwari ugambiriye gukora icyaha,"Iyo uwari ugambiriye gukora icyaha yigaruye ku bushake bwe ntahanwa, keretse iyo ibyo yamaze gukora ubwabyo ari icyaha.",rw
65,Article 22: Voluntary abandonment of intent to commit an offence,"If a person who had the intent to commit an offence voluntarily abandons the intent, he/she is not punished, unless the preparatory acts alone already constitute an offence.",en
66,Article 22: Renonciation volontaire à l'intention de commettre une infraction,"Si celui qui avait l'intention de commettre une infraction renonce volontairement à l'action, il n'encourt pas de peine, à moins que les actes préparatoires à eux seuls constituent déjà une infraction.",fr
67,Ingingo ya 23: Ibihano by'iremezo bihabwa abantu ku giti cyabo,Ibihano by'iremezo bihabwa abantu ku giti cyabo ni ibi bikurikira: 1º igifungo; 2º ihazabu; 3º imirimo y'inyungu rusange.,rw
68,Article 23: Principal penalties applicable to natural persons,Principal penalties applicable to natural persons are the following: 1º imprisonment; 2º fine; 3º penalty of community service.,en
69,Article 23: Peines principales applicables aux personnes physiques,Les peines principales applicables aux personnes physiques sont les suivantes: 1° l'emprisonnement; 2° l'amende; 3° la peine de travaux d'intérêt général.,fr
70,Ingingo ya 24: Ibihano by'ingereka bihabwa abantu ku giti cyabo,Ibihano by'ingereka bihabwa abantu ku giti cyabo ni ibi bikurikira: 1º ubunyagwe bwihariye; 2º kubuzwa cyangwa gutegekwa kuba ahantu; 3º kwamburwa uburenganzira mboneragihugu umuntu afite mu gihugu; 4º gutangaza icyaha cyakozwe n'igihano cyatanzwe n'urukiko.,rw
71,Article 24: Accessory penalties applicable to natural persons,Accessory penalties applicable to natural persons are the following: 1º special confiscation; 2º a ban on residence or compulsory residence in a particular location; 3º deprivation of civic rights; 4º publication of the offence committed and the penalty pronounced by the court.,en
72,Article 24: Peines accessoires applicables aux personnes physiques,Les peines accessoires applicables aux personnes physiques sont les suivantes: 1° la confiscation spéciale; 2° l'interdiction ou l'obligation de séjour; 3° la dégradation civique; 4° la publication de l'infraction commise et de la peine prononcée par la juridiction.,fr
